"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"4";"";"7SEG-CA";"7SEG-13";"D1, D2, D3, D4";"7-segment DISPLAY";"";"";"";"";
"1";"";"G08R";"SIL9";"RN1";"SIL RESISTOR";"";"";"unknown";"unknown";
"34";"";"R-US_0207/10";"0207/10";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34";"RESISTOR, American symbol";"";"";"";"";
"11";"0.1uF";"C-US025-024X044";"C025-024X044";"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11";"CAPACITOR, American symbol";"";"";"";"";
"1";"10k";"G08R";"SIL9";"RN2";"SIL RESISTOR";"";"";"unknown";"unknown";
"1";"220uF 10V";"CPOL-US-10-5";"C-10-5";"C12";"";"";"";"";"";
"2";"74138";"74LS138N";"DIL16";"U7, U8";"3-line to 8-line DECODER/DEMULTIPLEXER";"";"";"";"";
"2";"74244";"74LS244N";"DIL20";"U9, U10";"Octal BUFFER and LINE DRIVER, 3-state";"";"";"";"";
"1";"74245";"74LS245N";"DIL20";"U11";"Octal BUS TRANSCEIVER, 3-state";"";"";"";"";
"2";"74273";"74273N";"DIL20";"U5, U6";"Octal D type FLIP FLOP, clear";"";"";"";"";
"4";"GAL16V8B";"16V8";"DIL20";"U1, U2, U3, U4";"PAL";"";"GAL16V8D-7LPN";"9699740";"97K0449";
"1";"LB10";"LB10";"LB10";"D5";"LED BLOCK";"";"";"";"";
"2";"PINHD1X3THRU";"PINHD1X3THRU";"1X03";"JP1, JP2";"";"";"";"";"";
"1";"XMICRO-BUS-EDGE62M";"XMICRO-BUS-EDGE62M";"EDGE62M";"PC1";"";"";"";"";"";
